AMR_Class	TA	SD	TB	GA	GB	BB	RP	SP	EF	SF	TC	TW	LA	AB	LB	DB
Aminoglycoside	3.7173568372406e-4	8.2265186134963e-4	0.00281968402686067	0.00104558891621634	0.00106049593019294	0.00135073004925366	6.9170201407829e-4	0.00128400605945368	1.9515521348e-4	6.66325362646335e-5	6.12074002553692e-5	0	4.7320033593863e-4	3.30321746298505e-6	0	0
Bacitracin	0.00589281338142046	0.00775574995045511	0.00856753853463571	0.00933062027258344	0.0077373863912016	0.00863772988143446	0.00569452185966737	0.0143163442489112	0.0015340349929218	3.8820165409701e-4	5.3314433770096e-4	4.1772332978558e-4	0.00690533928155149	2.64633109175878e-5	3.87498614891757e-5	6.99597374947083e-6
Beta-lactam	7.3808015229063e-4	3.0012042490903e-4	7.4040668618875e-4	0.00123250015584727	9.0993082639856e-4	0.00297763610868193	3.6365433648427e-4	8.7531716766769e-4	9.31262861720378e-5	1.1350044346311e-4	1.2617197659668e-4	1.0589422801511e-4	2.6275087402548e-4	1.32744423088405e-5	2.67895678733939e-6	9.48611725076647e-7
Bleomycin	7.24821176305715e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbomycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloramphenicol	1.3829803217174e-4	2.61692557644784e-5	1.05041626158e-4	9.90325941840548e-5	1.53957106174067e-5	1.3569632267772e-4	2.87674164410725e-5	0	1.46624702485458e-5	2.00417910531317e-5	8.32508285841021e-6	1.44545458032458e-5	3.06087971264083e-5	1.21564984391201e-5	2.65199483980141e-6	0
Fosfomycin	3.67632132646391e-5	0	4.23730437690676e-5	3.4016276275103e-5	2.83429805852464e-5	8.6557065521415e-5	0	1.636996817316e-4	2.15414859458681e-5	0	0	0	1.09290625465682e-5	0	0	0
Fosmidomycin	7.6630379101098e-4	4.6197121886029e-4	6.8589123591792e-4	7.3278012771729e-4	5.8799663975062e-4	8.5585353211372e-4	4.3691716008756e-4	6.6627005545347e-4	4.300795418274e-4	4.22625908739093e-5	9.90556260550748e-5	1.1158358881557e-4	3.419102683941e-4	2.92245444729652e-6	3.43694908513297e-6	5.3959465528915e-7
Fusaric-acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusidic-acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kasugamycin	1.0231543401933e-4	1.0357809832301e-4	1.0592906677446e-4	2.1531282247261e-4	1.2320869289987e-4	1.2241584153854e-4	8.9486373711956e-5	1.4886540731233e-4	7.46999559042632e-6	3.90138475759549e-5	4.07952778246882e-5	0	2.88747125860515e-5	0	2.1226521197859e-6	1.1561902907993e-6
MLS	7.4057348013373e-4	4.5861719078625e-4	8.1480204497857e-4	9.9946891369182e-4	8.2252811102217e-4	0.00205496103690589	6.4571270591149e-4	9.3615021336018e-4	2.9485138693642e-4	2.531485752773e-4	1.8962771258089e-4	2.9274214753764e-4	4.2482321818728e-4	7.06285866362845e-6	1.53876957169995e-5	3.45657582452209e-6
Multidrug	0.0104693105875685	0.00281221996614045	0.00635995050379488	0.0106440483738909	0.00628406887779903	0.0306187147097877	0.00318025160337229	0.00595313085468477	0.00171660903837226	8.3910213129318e-4	6.2147081613354e-4	0.00108677931349459	0.00195220600475605	6.75426266379478e-5	1.0758597389956e-4	1.38571372568749e-5
Polymyxin	1.7385432066054e-4	6.30886658116625e-5	4.74071100134912e-5	2.011739823787e-4	1.5716812994345e-4	1.3210176834744e-4	4.98712365340347e-5	6.91010682874418e-5	2.36591017736942e-5	4.34672611152336e-5	2.53330988521939e-5	6.56998270959711e-5	9.52454007094022e-5	1.72160378326759e-6	5.19625238923588e-6	1.35287706698159e-6
Puromycin	0	0	0	0	0	0	0	0	1.14666839956662e-6	0	0	0	0	0	0	0
Quinolone	9.73409162834089e-5	2.29379780180372e-5	1.01267364212116e-5	1.0651597480947e-4	8.18761034970887e-5	1.1337341334256e-4	3.26759924137271e-5	4.95244746244125e-5	4.76427654326721e-5	0	0	0	2.03339191345472e-5	0	8.97922978373074e-6	0
Rifamycin	1.2066494611282e-4	4.25688622872697e-5	1.2777056019175e-4	2.6688504312483e-4	8.31533033346567e-5	1.23050535458048e-5	1.455494312307e-4	9.72483869054637e-5	1.0891822064568e-4	0	2.38053839905521e-5	1.87373741893927e-5	2.55796013503791e-5	0	0	0
Spectinomycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfonamide	2.4227053292432e-4	0.00145765524500577	0.00431613786126865	0.00196389634175924	0.00133381356380552	0.0017421007285879	0.00108894907647172	0.00158661693125975	3.34959943011605e-5	7.43022406814076e-6	1.62440641139711e-5	5.22837307007261e-5	6.1352427728703e-4	0	9.6497287510069e-6	0
Tetracenomycin_C	2.55308583116707e-5	2.72225852739328e-5	0	0	1.14019262021019e-5	0	0	0	0	0	0	0	0	0	0	0
Tetracycline	1.0903659773263e-4	1.501316088408e-4	0.00114267861937052	4.9859282862415e-4	2.7821116092238e-4	0.00146614889936298	2.6174585782678e-4	2.7516508112799e-4	8.22124947937336e-5	6.85039308564536e-6	6.01926049068978e-6	0.00107389654015428	1.7431454453687e-4	1.22887125756257e-5	4.50159316836362e-5	7.36755334980398e-6
Trimethoprim	6.10123713080511e-5	2.50016217374705e-5	2.8168257426619e-4	1.6951682219817e-4	1.4693245034777e-4	9.42144409646654e-5	0	2.3630262894179e-4	4.48954280434714e-5	0	2.38555005884269e-5	3.58038997249541e-5	0	7.00292770119877e-6	0	0
Unclassified	0.00149441061778982	5.5655261336883e-4	0.00141046766788737	0.00223113361603949	0.0014925693344077	0.00281757160334911	6.8773393234219e-4	0.00120487909625235	3.4059378350317e-4	1.6184008697266e-4	1.8687077449003e-4	3.404009351325e-4	4.9293023680149e-4	5.67417126082403e-5	8.38275836772791e-5	2.90247243135879e-5
Vancomycin	2.3993819355984e-4	7.94203594573976e-5	8.66969615271633e-5	1.7458520190722e-4	4.30556862366807e-5	1.378761796667e-4	1.1037518394936e-4	1.0927924778998e-4	9.44915949069136e-5	0	2.15333441239446e-5	1.94674017552132e-5	3.02227234842911e-5	0	7.65157109433967e-6	0
