name,site,date,rep,sul1,inti1,ermf,tetw,blashv,norm_16s,group1
EF,Eaton Canyon Falls,10/30/2021,1,7.252643797,8.502945794,2.241271549,0.565678914,0.007996856,9258.195602,Undeveloped
EF,Eaton Canyon Falls,10/30/2021,2,8.801346461,15.43981743,3.350641807,0.447026918,0.008111804,19961.59896,Undeveloped
EF,Eaton Canyon Falls,10/30/2021,3,9.257801374,23.21109555,2.736168861,0.68115449,0.00808081,16172.17057,Undeveloped
SF,Switzer Canyon Falls,10/30/2021,1,3.565518061,6.337701003,0.017015158,0.4958375,0.002804362,20219.28429,Undeveloped
SF,Switzer Canyon Falls,10/30/2021,2,3.021843513,3.676885486,0.002602294,0.474575604,0.001357833,17389.46528,Undeveloped
SF,Switzer Canyon Falls,10/30/2021,3,3.526133696,3.935044845,0.030244747,0.670812597,0.003329445,21598.57248,Undeveloped
TC,Big Tujunga Creek,10/30/2021,1,1.24217453,0.648363288,0.022672283,NA,0.002897056,12773.60833,Undeveloped
TC,Big Tujunga Creek,10/30/2021,2,1.033755978,1.284955661,0.019429334,0.000131081,0.00110965,13344.52734,Undeveloped
TC,Big Tujunga Creek,10/30/2021,3,1.315404216,1.804399769,0.011877263,0.0962855,0.003949804,16656.33854,Undeveloped
TW,Tujunga Wash,10/30/2021,1,3.8209891,1.304157893,0.100410551,3.220308876,0.003758072,10899.55764,Undeveloped
TW,Tujunga Wash,10/30/2021,2,3.514653365,2.895763238,0.136643251,3.995093346,0.011005709,11199.4566,Undeveloped
TW,Tujunga Wash,10/30/2021,3,5.106272856,7.14086628,0.132040453,5.369117101,0.008280004,19044.55686,Undeveloped
TA,Tillman Above,10/28/2021,1,1142.971517,2469.576921,13.0091095,0.391254912,1.381945213,115308.6615,Developed
TA,Tillman Above,10/28/2021,2,1032.405843,3338.888962,13.67917506,0.585830758,1.404935201,312090.6736,Developed
TA,Tillman Above,10/28/2021,3,1008.269084,3143.677124,13.80964915,0.50958699,1.365436395,393260.1111,Developed
SD,Sepulveda Dam,10/28/2021,1,2707.634521,7370.002523,21.80530421,1.084856153,0.337227166,158288.9792,Developed
SD,Sepulveda Dam,10/28/2021,2,2754.690023,8145.474935,25.78941917,1.247299711,0.36888358,160525.375,Developed
SD,Sepulveda Dam,10/28/2021,3,3205.826335,6714.621908,28.68370883,1.410157442,0.362814317,182384.0556,Developed
TB,Tillman Below,10/28/2021,1,38150.22591,76715.92773,726.7969996,81.6110611,1.538150276,128324.2847,Developed
TB,Tillman Below,10/28/2021,2,30323.05093,71443.76172,647.9014064,65.89592018,1.565247871,121813.7882,Developed
TB,Tillman Below,10/28/2021,3,42080.81281,106568.3133,876.8954028,101.5022457,2.477306713,138538.5278,Developed
BB,Burbank Below,10/28/2021,1,31743.68666,81972.23266,703.3899226,337.3564477,12.81602173,128260.5278,Developed
BB,Burbank Below,10/28/2021,2,25342.82146,70572.12536,580.0589063,267.2065038,9.914467458,131470.1181,Developed
BB,Burbank Below,10/28/2021,3,32395.28147,102190.3957,740.1005624,383.2091398,11.55282353,132672.9757,Developed
GA,Glendale Above,10/28/2021,1,53579.77235,66914.81555,1802.495134,285.9646221,21.25505036,145012.6944,Developed
GA,Glendale Above,10/28/2021,2,61972.94092,181872.1721,1952.505429,297.7863281,21.50916654,225765.9306,Developed
GA,Glendale Above,10/28/2021,3,82988.75061,178898.4846,2524.489174,460.2137442,28.08937618,196999.7986,Developed
GB,Glendale Below,10/28/2021,1,43050.28318,148220.0707,1633.034282,271.5277348,18.55687771,121367.3715,Developed
GB,Glendale Below,10/28/2021,2,165464.6629,569205.3754,5018.702884,985.0215488,71.10529847,236808.1111,Developed
GB,Glendale Below,10/28/2021,3,125510.6927,379015.0729,4222.58138,680.4565247,50.38678207,171934.1736,Developed
RP,Rattlesnake Park,10/28/2021,1,115475.647,316900.6592,4850.729561,435.8601689,12.08723858,188048.3785,Developed
RP,Rattlesnake Park,10/28/2021,2,129393.6703,382976.7353,6375.472889,926.3308807,16.82825975,205870.8472,Developed
RP,Rattlesnake Park,10/28/2021,3,132026.8967,517793.1316,7760.094051,636.9783498,25.40793249,227980.5833,Developed
SP,Steelhead Park,10/28/2021,1,120367.3507,377167.0391,5682.813147,330.0447568,19.40171359,171230.1736,Developed
SP,Steelhead Park,10/28/2021,2,118970.0274,328236.2233,4233.988536,224.6245608,15.57318657,202542.8681,Developed
SP,Steelhead Park,10/28/2021,3,118174.4089,280359.9088,3520.489477,200.542996,12.44108218,206731.1319,Developed
LA,LA River in Long Beach,11/1/2021,1,195699.9664,533317.295,69470.87692,826.7226842,226.623907,132359.1493,Developed
LA,LA River in Long Beach,11/1/2021,2,219956.0081,509699.0493,71534.69174,816.8949766,234.3647558,164386.1285,Developed
LA,LA River in Long Beach,11/1/2021,3,267990.213,559788.1006,85984.58181,1028.247578,300.5868653,192913.5694,Developed
AB,Alamitos Beach,11/1/2021,1,178.5288663,340.2669042,8.942737828,62.99989228,0.492082411,32057.44705,Beach
AB,Alamitos Beach,11/1/2021,2,225.4266471,369.2891278,11.45741824,62.34226516,0.217133878,34859.27778,Beach
AB,Alamitos Beach,11/1/2021,3,251.4493271,151.4489653,12.65357628,44.98857761,0.797201903,40082.23872,Beach
LB,Long Beach City Beach,11/1/2021,1,235.2719784,232.9918718,9.16388914,14.05891091,0.304695868,44994.46528,Beach
LB,Long Beach City Beach,11/1/2021,2,198.9175624,331.7028895,4.785039282,10.66518183,0.413289085,77571.21354,Beach
LB,Long Beach City Beach,11/1/2021,3,140.9699411,313.3454468,5.816750976,4.002288981,0.387623512,62174.92882,Beach
DB,Rosie's Dog Beach,11/1/2021,1,234.8508169,266.2857312,25.81929795,503.8814596,0.960394463,36416.00579,Beach
DB,Rosie's Dog Beach,11/1/2021,2,208.4927944,379.2159622,20.54169634,351.4372449,0.992278819,55461,Beach
DB,Rosie's Dog Beach,11/1/2021,3,223.6841939,400.9608101,27.09740418,371.9416817,0.716412977,60556.89352,Beach
